ct_name,macro_avg_dice,micro_avg_dice,dice_right adrenal gland,dice_left adrenal gland,dice_bladder,dice_duodenum,dice_esophagus,dice_gallbladder,dice_heart,dice_right kidney,dice_left kidney,dice_liver,dice_pancreas,dice_prostate,dice_small bowel,dice_spleen,dice_stomach
07-14-2009-NA-CT-24459.nii.gz,0.7276254336039225,0.8571307,0.5815050005912781,0.36003726720809937,0.9316091537475586,0.4837416708469391,0.6640228033065796,0.9024850130081177,0.92279452085495,0.9599074125289917,0.9650433659553528,0.9610929489135742,0.84742271900177,0.0,0.4814966022968292,0.9326639771461487,0.9205590486526489
08-04-2004-NA-CT-80302.nii.gz,0.8087226986885071,0.9318549,0.6913540363311768,0.6367781758308411,0.9622796177864075,0.629099428653717,0.7432913780212402,0.8433231711387634,0.842339277267456,0.9609805345535278,0.9615915417671204,0.9649962782859802,0.8940352201461792,0.19986003637313843,0.8906960487365723,0.9629537463188171,0.9472619891166687
08-25-2004-NA-CT-14591.nii.gz,0.8001380403836568,0.89426774,0.7773268818855286,0.6634036302566528,0.9503388404846191,0.4376424551010132,0.7526775598526001,0.9175748229026794,0.8063207268714905,0.9683167338371277,0.9631103277206421,0.9752889275550842,0.6754835844039917,0.628662645816803,0.8266847729682922,0.9740584492683411,0.6851802468299866
11-22-2005-NA-CT-47368.nii.gz,0.7481299221515656,0.8911641,0.43792033195495605,0.35624685883522034,0.9418487548828125,0.70256507396698,0.6832848787307739,0.9191041588783264,0.8513062596321106,0.9465548396110535,0.9427776336669922,0.9601156115531921,0.821355402469635,0.0,0.7573012709617615,0.9441814422607422,0.957386314868927
10-11-2008-NA-CT-72580.nii.gz,0.6046684255202611,0.8208045,0.24061809480190277,0.0,0.6442233920097351,0.616726279258728,0.6109278202056885,0.8711227774620056,0.8332743644714355,0.9640517234802246,0.9299666285514832,0.9464704990386963,0.0,0.0,0.5891015529632568,0.9141947031021118,0.9093485474586487
09-24-2006-NA-CT-48854.nii.gz,0.7239154974619547,0.91056234,0.5669317841529846,0.4121621549129486,0.9282084703445435,0.7350817918777466,0.2961932122707367,0.7792870402336121,0.8224923610687256,0.9314203858375549,0.9305003881454468,0.9659926295280457,0.7851110696792603,0.0,0.8314158320426941,0.9397470355033875,0.9341883063316345
06-20-2009-NA-CT-44238.nii.gz,0.25167163213094074,0.74443865,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7550148963928223,1.0,1.0
06-27-2008-NA-CT-33294.nii.gz,0.7590190986792247,0.91217273,0.5767604112625122,0.5898650884628296,0.9148696660995483,0.4735400080680847,0.47227585315704346,0.8535344004631042,0.8188027143478394,0.964381754398346,0.9581887125968933,0.9639430642127991,0.9019261598587036,0.3664970099925995,0.7571043372154236,0.9518607258796692,0.8217365741729736
09-03-2009-NA-CT-81165.nii.gz,0.6201329745352269,0.82834864,0.0,0.04358028993010521,0.916698694229126,0.41912034153938293,0.7880597114562988,0.7981309294700623,0.9311341643333435,0.8368704915046692,0.9493691921234131,0.955020010471344,0.4796437919139862,0.0,0.5471108555793762,0.9236090183258057,0.7136471271514893
04-08-2008-NA-CT-61824.nii.gz,0.8514686584472656,0.92166376,0.7191887497901917,0.6350399255752563,0.8565932512283325,0.7839595675468445,0.7783032655715942,0.9455070495605469,0.8570696115493774,0.9670394062995911,0.959660530090332,0.9643611311912537,0.8532733917236328,0.6776372790336609,0.8577043414115906,0.9715100526809692,0.9451823234558105
04-08-2008-NA-CT-01565.nii.gz,0.6410356839497884,0.7786177,0.3431715965270996,0.0,0.7295308709144592,0.5585753917694092,0.5181356072425842,0.8148909211158752,0.830495297908783,0.9191552996635437,0.9339697957038879,0.9550160765647888,0.7895817160606384,0.0,0.4662696123123169,0.9277237057685852,0.8290193676948547
07-03-2008-NA-CT-24100.nii.gz,0.6139128713735512,0.82836115,0.0,0.15539182722568512,0.8190560340881348,0.14256183803081512,0.7899754047393799,0.7633874416351318,0.8702119588851929,1.0,0.925237238407135,0.953622579574585,0.7289683818817139,0.1072046086192131,0.48428136110305786,0.9094967842102051,0.9453847408294678
05-21-2009-NA-CT-55840.nii.gz,0.7023570815722148,0.86471456,0.5358721613883972,0.22658610343933105,0.9362450838088989,0.5228824615478516,0.5630074739456177,0.8741191029548645,0.9113871455192566,0.928243100643158,0.9344337582588196,0.9534542560577393,0.7602732181549072,0.0,0.5459850430488586,0.9136373400688171,0.9292299747467041
03-22-2008-NA-CT-47778.nii.gz,0.6832963327566782,0.88696116,0.5665804147720337,0.4826105535030365,0.9548042416572571,0.5389288067817688,0.5600182414054871,0.0,0.8824549913406372,0.9551463723182678,0.9523637294769287,0.9607414603233337,0.8415055871009827,0.0,0.7019075155258179,0.9167786240577698,0.935604453086853
10-14-2008-NA-CT-30494.nii.gz,0.6358403680580003,0.811896,0.3658536672592163,0.0,0.6224434971809387,0.248402938246727,0.42387691140174866,0.668915331363678,0.88517165184021,0.9145914316177368,0.9125992059707642,0.8886770009994507,0.7605858445167542,1.0,0.48307785391807556,0.856550395488739,0.8710194230079651
06-08-2005-NA-CT-64146.nii.gz,0.6845296238859494,0.898759,0.03654485195875168,0.2651861608028412,0.8989583849906921,0.579152524471283,0.4851154088973999,0.8991682529449463,0.8565496802330017,0.9274371266365051,0.9254592657089233,0.9643166661262512,0.8176668286323547,0.0,0.7820050716400146,0.9201325178146362,0.9102516174316406
