ct_name,macro_avg_dice,micro_avg_dice,dice_right adrenal gland,dice_left adrenal gland,dice_bladder,dice_duodenum,dice_esophagus,dice_gallbladder,dice_heart,dice_right kidney,dice_left kidney,dice_liver,dice_pancreas,dice_prostate,dice_small bowel,dice_spleen,dice_stomach
07-14-2009-NA-CT-24459.nii.gz,0.7165501177310943,0.88807184,0.49713024497032166,0.2881757616996765,0.9317453503608704,0.44661885499954224,0.666887640953064,0.7497050166130066,0.9141401648521423,0.9575448036193848,0.9627162218093872,0.9592633247375488,0.8301100134849548,0.0,0.7146645188331604,0.9143081307411194,0.9152417182922363
08-04-2004-NA-CT-80302.nii.gz,0.8184448500474294,0.9371419,0.6595778465270996,0.7221696376800537,0.9449888467788696,0.6580286622047424,0.7733497619628906,0.8226692080497742,0.8281408548355103,0.958931565284729,0.9566870927810669,0.9694195985794067,0.8961371779441833,0.2541333734989166,0.9177576303482056,0.9647690653800964,0.949912428855896
08-25-2004-NA-CT-14591.nii.gz,0.7524161865313848,0.88836724,0.7709541320800781,0.6600606441497803,0.9475924968719482,0.3940444886684418,0.7871219515800476,0.8935380578041077,0.8489211797714233,0.9632344841957092,0.9635852575302124,0.9737445116043091,0.24345077574253082,0.4116128981113434,0.8262617588043213,0.9733537435531616,0.6287664175033569
11-22-2005-NA-CT-47368.nii.gz,0.7981012804167611,0.8945098,0.35674646496772766,0.3265344202518463,0.939866304397583,0.7373226284980774,0.7446035146713257,0.8919046521186829,0.8467965722084045,0.9345085024833679,0.9425565600395203,0.9601456522941589,0.821921169757843,1.0,0.7736096382141113,0.9473041892051697,0.9495976567268372
10-11-2008-NA-CT-72580.nii.gz,0.6281593819459279,0.83547366,0.18090452253818512,0.0,0.704520046710968,0.622450590133667,0.6328750252723694,0.8531935811042786,0.8272593021392822,0.9613677859306335,0.9363641738891602,0.9563541412353516,0.2442769557237625,0.0,0.6414572596549988,0.9243069291114807,0.9370604157447815
09-24-2006-NA-CT-48854.nii.gz,0.7377394676208496,0.9162605,0.5149677991867065,0.5230043530464172,0.9390655755996704,0.7084550261497498,0.4345303177833557,0.7735053896903992,0.8399113416671753,0.9338099360466003,0.9356293082237244,0.9652664661407471,0.7845059037208557,0.0,0.8500058650970459,0.9352866411209106,0.928148090839386
06-20-2009-NA-CT-44238.nii.gz,0.2049512267112732,0.6135897,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6148536801338196,1.0,1.0
06-27-2008-NA-CT-33294.nii.gz,0.756630559762319,0.9336996,0.5689235329627991,0.6327763795852661,0.9595149755477905,0.4398159384727478,0.544671893119812,0.8794805407524109,0.8230288624763489,0.9695199728012085,0.9655584096908569,0.9699400067329407,0.8871413469314575,0.0,0.8578072786331177,0.9661256670951843,0.885153591632843
09-03-2009-NA-CT-81165.nii.gz,0.628170249859492,0.8273139,0.0,0.1722589135169983,0.8935831189155579,0.24897035956382751,0.7521660327911377,0.7098143696784973,0.9470950961112976,0.9189042448997498,0.9488371014595032,0.9484254121780396,0.6808772683143616,0.0,0.514922559261322,0.9120515584945679,0.7746477127075195
04-08-2008-NA-CT-61824.nii.gz,0.8510772744814555,0.926294,0.7380029559135437,0.6698466539382935,0.8643012642860413,0.6996305584907532,0.8057597875595093,0.9268073439598083,0.8659118413925171,0.9636787176132202,0.9589006304740906,0.966935932636261,0.849794864654541,0.6699625253677368,0.8713207244873047,0.9695165753364563,0.9457887411117554
04-08-2008-NA-CT-01565.nii.gz,0.6554908533891042,0.80667895,0.3526149094104767,0.0,0.8815613985061646,0.515067994594574,0.5277641415596008,0.7661047577857971,0.8408129811286926,0.938235878944397,0.9359395503997803,0.952965259552002,0.7486889362335205,0.0,0.5510417819023132,0.9179233908653259,0.9036418199539185
07-03-2008-NA-CT-24100.nii.gz,0.5870330512523652,0.8374317,0.0,0.2035040408372879,0.8603941798210144,0.16478942334651947,0.8019848465919495,0.5952122807502747,0.8720232844352722,0.0,0.9361128211021423,0.9490150809288025,0.5847620964050293,0.43717435002326965,0.5649203658103943,0.8996005058288574,0.9360024929046631
05-21-2009-NA-CT-55840.nii.gz,0.6862474501132965,0.86846006,0.4716850817203522,0.14684385061264038,0.9216600060462952,0.43295586109161377,0.5668337941169739,0.8648614287376404,0.9118176698684692,0.9314053058624268,0.9381120204925537,0.9517660737037659,0.734281599521637,0.0,0.609320342540741,0.89442378282547,0.9177449345588684
03-22-2008-NA-CT-47778.nii.gz,0.7250729032925197,0.88204306,0.543410062789917,0.47411561012268066,0.9418307542800903,0.5126835703849792,0.5312097668647766,0.0,0.8937068581581116,0.9560558199882507,0.9590439200401306,0.9580012559890747,0.8363685011863708,1.0,0.6858574151992798,0.9309181571006775,0.9278189539909363
10-14-2008-NA-CT-30494.nii.gz,0.6237397201891456,0.8153723,0.3121117949485779,0.14023372530937195,0.6386944651603699,0.0030163638293743134,0.466487318277359,0.5681772232055664,0.884026825428009,0.9100394248962402,0.9115018248558044,0.880768358707428,0.7412736415863037,1.0,0.532550573348999,0.8678732514381409,0.8756012916564941
06-08-2005-NA-CT-64146.nii.gz,0.7642552512032645,0.90490067,0.17027026414871216,0.3096478581428528,0.9244670867919922,0.6441983580589294,0.6191867589950562,0.8816453218460083,0.8124346137046814,0.9425041079521179,0.9434333443641663,0.9565439224243164,0.8159976005554199,1.0,0.8223340511322021,0.9338312745094299,0.9230789542198181
